judge,corruption,severity,n_target,target_unchanged,target_dropped,target_rose,other_unchanged
Qwen/Qwen3-VL-8B-Instruct,blur,1,476,0.7037815126050421,0.18277310924369747,0.1134453781512605,0.731203007518797
Qwen/Qwen3-VL-8B-Instruct,blur,3,476,0.5609243697478992,0.35294117647058826,0.0861344537815126,0.6033834586466166
Qwen/Qwen3-VL-8B-Instruct,jpeg,1,476,0.7710084033613446,0.12394957983193278,0.10504201680672269,0.7744360902255639
Qwen/Qwen3-VL-8B-Instruct,jpeg,3,475,0.5557894736842105,0.35157894736842105,0.09263157894736843,0.590009425070688
Qwen/Qwen3-VL-8B-Instruct,noise,1,476,0.7521008403361344,0.14495798319327732,0.10294117647058823,0.7631578947368421
Qwen/Qwen3-VL-8B-Instruct,noise,3,476,0.4789915966386555,0.45168067226890757,0.06932773109243698,0.5028195488721805
Qwen/Qwen3-VL-8B-Instruct,remove,binary,952,0.5136554621848739,0.38865546218487396,0.0976890756302521,0.5352443609022557
Qwen/Qwen3-VL-8B-Instruct,saturate,1,476,0.7710084033613446,0.13655462184873948,0.09243697478991597,0.7857142857142857
Qwen/Qwen3-VL-8B-Instruct,saturate,3,476,0.7100840336134454,0.19327731092436976,0.09663865546218488,0.7227443609022557
