readout,judge,severity,auroc,n,n_target,ties,mean_delta_target,mean_delta_other
sc_success,Qwen/Qwen3-VL-8B-Instruct,1,0.5069134973068173,6160,1904,0.900487012987013,-0.21516106442577035,-0.06469298245614037
sc_success,Qwen/Qwen3-VL-8B-Instruct,3,0.5110889546731502,6156,1903,0.8429174788823912,-0.3387633561043966,-0.06473861587898742
sc_success,Qwen/Qwen3-VL-8B-Instruct,binary,0.521764873712643,3080,952,0.7681818181818182,-1.2629551820728293,-0.49702380952380953
