judge,corruption,auroc,n,mean_delta_target,mean_delta_other
Qwen/Qwen3-VL-8B-Instruct,blur,0.5178023512036393,3080,-0.0371692651721658,-0.018209256291668335
Qwen/Qwen3-VL-8B-Instruct,jpeg,0.5151021216057401,3076,-0.01734560723533193,-0.003976455107604871
Qwen/Qwen3-VL-8B-Instruct,noise,0.5084048422000379,3080,-0.022302219138833408,-0.024326912643828077
Qwen/Qwen3-VL-8B-Instruct,remove,0.5172230898938522,3080,-0.0616696963218914,-0.03613614254650215
Qwen/Qwen3-VL-8B-Instruct,saturate,0.5129809325045808,3080,-0.00017079450343235068,0.0016552287187784134
