readout,judge,severity,auroc,n,n_target,ties,mean_delta_target,mean_delta_other
phi,Qwen/Qwen3-VL-8B-Instruct,1,0.5068007054795602,6160,1904,0.8886363636363637,-0.1552871148459384,-0.010416666666666689
phi,Qwen/Qwen3-VL-8B-Instruct,3,0.5115292484956061,6156,1903,0.8295971410006497,-0.533718689788054,-0.17548397209812688
phi,Qwen/Qwen3-VL-8B-Instruct,binary,0.5230260689802239,3080,952,0.759090909090909,-1.6048669467787113,-0.6424655388471179
