subset,n_bases,n_rows,target_unchanged,auroc,frac_mixed,mixed_if_independent
all,150,15396,0.6331162008825384,0.5137430189471138,0.21622189535616726,0.6844383363637486
edge_iou>=0.4,96,10260,0.6503225806451612,0.5145571048837628,0.18258064516129033,0.6697563922802459
