presentation,kind,n,unchanged,mean_abs_delta,mean_delta,vs_damage,vs_floor
box,image,340,0.6441176470588236,0.1022648061108841,-0.02971522266114655,0.7236964906893237,0.8988298060114944
shuffle,text,340,0.6264705882352941,0.2193205260317972,-0.107471342276609,1.5520637163605329,1.9276604861867366
subset,text,260,0.6615384615384615,0.12877581991338485,-0.03986970111408045,0.9113067584160628,1.1318414382580029
