judge,corruption,severity,n_target,target_unchanged,target_dropped,target_rose,other_unchanged
Qwen/Qwen3-VL-8B-Instruct,blur,1,284,0.5387323943661971,0.30633802816901406,0.15492957746478872,0.5764895330112721
Qwen/Qwen3-VL-8B-Instruct,blur,3,284,0.3274647887323944,0.5915492957746479,0.08098591549295775,0.38808373590982287
Qwen/Qwen3-VL-8B-Instruct,jpeg,1,284,0.6408450704225352,0.20774647887323944,0.15140845070422534,0.642512077294686
Qwen/Qwen3-VL-8B-Instruct,jpeg,3,283,0.3321554770318021,0.5901060070671378,0.07773851590106007,0.3640776699029126
Qwen/Qwen3-VL-8B-Instruct,noise,1,284,0.6091549295774648,0.24295774647887325,0.14788732394366197,0.6103059581320451
Qwen/Qwen3-VL-8B-Instruct,noise,3,284,0.19014084507042253,0.7570422535211268,0.0528169014084507,0.2109500805152979
Qwen/Qwen3-VL-8B-Instruct,remove,binary,568,0.2640845070422535,0.6514084507042254,0.08450704225352113,0.2882447665056361
Qwen/Qwen3-VL-8B-Instruct,saturate,1,284,0.647887323943662,0.22887323943661972,0.12323943661971831,0.6537842190016103
Qwen/Qwen3-VL-8B-Instruct,saturate,3,284,0.5598591549295775,0.323943661971831,0.11619718309859155,0.5652173913043478
