judge,n_variants,regions_per_variant,per_region_move_rate,frac_none,frac_all,frac_mixed,mixed_if_independent
OpenGVLab/InternVL3-2B,2190,3.0,0.46044657097288677,0.4945205479452055,0.42557077625570777,0.07990867579908675,0.7453065787565913
Qwen/Qwen3-VL-8B-Instruct,2929,3.0,0.5461041954817888,0.36462956640491634,0.4895868897234551,0.14578354387162853,0.743623209476931
