readout,judge,severity,auroc,n,n_target,ties,mean_delta_target,mean_delta_other
reward,OpenGVLab/InternVL3-2B,1,0.4993748056030749,2572,824,0.5746500777604977,-0.031228657068974746,-0.03245303689501246
reward,OpenGVLab/InternVL3-2B,3,0.4925320338361733,2572,824,0.526049766718507,-0.03922928567215364,-0.04167742879817958
reward,OpenGVLab/InternVL3-2B,binary,0.4979505009886472,1286,412,0.47200622083981336,-0.06595377529277698,-0.0676289061891001
reward,Qwen/Qwen3-VL-8B-Instruct,1,0.5177353371436348,3620,1136,0.6171270718232044,-0.03345675001740238,-0.02278999284325159
reward,Qwen/Qwen3-VL-8B-Instruct,3,0.5297497989122618,3616,1135,0.372787610619469,-0.092995896573217,-0.07369397410515054
reward,Qwen/Qwen3-VL-8B-Instruct,binary,0.5330339525073144,1810,568,0.28066298342541435,-0.14838543394113352,-0.1120018072753011
