subset,n_bases,n_rows,target_unchanged,auroc,frac_mixed,mixed_if_independent
all,119,15476,0.48377219840783836,0.5103842151500009,0.07990867579908675,0.7453065787565913
edge_iou>=0.4,71,9740,0.46963696369636965,0.510636358717839,0.10139860139860139,0.7478254437869822
