readout,judge,severity,auroc,n,n_target,ties,mean_delta_target,mean_delta_other
phi,OpenGVLab/InternVL3-2B,1,0.4996084290506766,2572,824,0.7356143079315708,-1.2961165048543692,-1.322654462242563
phi,OpenGVLab/InternVL3-2B,3,0.49509286618826515,2572,824,0.7200622083981337,-1.5546116504854373,-1.6773455377574373
phi,OpenGVLab/InternVL3-2B,binary,0.5009011686032303,1286,412,0.6765163297045101,-2.866504854368932,-2.9279176201372996
phi,Qwen/Qwen3-VL-8B-Instruct,1,0.5129595254700505,3620,1136,0.837292817679558,-0.8060446009389672,-0.4989264626945788
phi,Qwen/Qwen3-VL-8B-Instruct,3,0.521021792051308,3616,1135,0.7704646017699115,-1.8992657856093982,-1.280263334676878
phi,Qwen/Qwen3-VL-8B-Instruct,binary,0.5384304619990476,1810,568,0.6729281767955801,-3.7549882629107985,-2.376945786366076
