target_region_id,0,1,2,3,4,bg
0,-1.582387340901273,-1.2303869364572242,-1.8192918192918193,-3.257575757575758,-8.5,-1.439127889961955
1,-1.0189003436426116,-2.4663120567375887,-1.9085365853658536,-1.225,-2.5,-1.391812865497076
2,-0.5034364261168385,-0.9397163120567377,-1.5548780487804879,-1.925,-2.5,-1.2251461988304093
3,0.20833333333333334,-0.4166666666666667,0.0,-0.975,-0.5,-0.06666666666666667
4,0.75,0.0,0.0,-1.0,2.0,1.75
