target_region_id,0,1,2,3,bg
0,-2.0863849765258218,-2.6087431693989074,-2.251960784313726,-5.466666666666667,-0.05
1,-1.25962441314554,-1.7841530054644812,-1.1593137254901964,-3.25,-0.06666666666666667
2,-1.2694835680751175,-1.8251366120218582,-1.1990196078431374,-1.2833333333333334,-0.05
3,-2.5166666666666666,-2.4166666666666665,-1.2428571428571429,-2.4166666666666665,0.0
4,,,,,0.0
